setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
loose_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,3,14,8,0.9732205381397909,0.2606286053241762,0.2606286053241762,2.322179084838095,0.0
loose_curve,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,3,14,8,0.06671171916530437,0.03328171204725966,0.019024334171880958,0.13000738893254912,0.0
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,3,14,8,1.1125373573274346,0.34572460297889385,0.34572460297889385,2.552682058813129,0.0
loose_curve,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,3,14,8,1.1125951240026593,0.34568483951320084,0.34568483951320084,2.552869534280211,0.0
loose_curve,gps_speed_curve_matched,steer_rms_deg,B-minus-A,2,3,2,0.039318554042733656,-0.11432522175879112,-0.11432522175879112,0.19296232984425843,0.5
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,2,3,2,0.09927140877495377,-0.02645548794963415,-0.02645548794963415,0.2249983054995417,0.5
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,2,3,2,0.024234947975224012,0.020164203328939673,0.020164203328939673,0.028305692621508352,0.0
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,2,3,2,0.10722391844729773,-0.1312767660842984,-0.1312767660842984,0.34572460297889385,0.5
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,2,3,2,0.10721919165673344,-0.13124645619973396,-0.13124645619973396,0.34568483951320084,0.5
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,8,38,19,-0.17717605153200355,-0.1883609421447412,-0.3333925162516136,-0.001106820634279706,0.75
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,8,38,19,-0.6324899261221589,-0.2937637247196738,-1.1887129060496864,-0.0891051803217711,0.75
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,8,38,19,-0.033381442103889526,-0.053541247875750514,-0.05926039612991215,-0.004672389218410697,0.75
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,8,38,19,0.009406074840586365,-0.03691333184517731,-0.43175303043980795,0.5882161757571372,0.5
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,8,38,19,0.009449838806660782,-0.036882973517992135,-0.44333860852479096,0.570097264005202,0.5
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-A,4,4,4,-0.0229062917457174,-0.24464358600712932,-0.34507689971354194,0.37795491376583,0.5
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,4,4,4,-0.015356257195495049,-0.56081063480025,-0.8142383197320858,1.035361210999307,0.75
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,4,4,4,-0.006852854977775463,-0.03446217757965653,-0.05370854012792935,0.05300254212875004,0.75
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,4,4,4,0.6556905418815642,-0.24588646029683958,-0.2506855363060928,2.2422937913318606,0.5
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,4,4,4,0.6557569808107978,-0.24584705472889334,-0.2506904282620084,2.242619533906775,0.5
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-B,4,9,8,-0.12612967296954508,-0.1656352033211646,-0.1872070242512024,-0.053815329442140986,0.75
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,4,9,8,-0.22980568615100722,-0.2972656932618678,-0.3095960348357941,-0.10355196623439539,1.0
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,4,9,8,-0.016746251813361788,-0.020512079662155503,-0.03633819845413553,-0.006321411436491543,0.75
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,4,9,8,-0.2411649325337541,-0.31513858228048997,-0.3719181922048686,-0.04421055876045972,0.75
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,4,9,8,-0.2411825638258296,-0.31522411152425683,-0.37195722373566037,-0.04421648542536882,0.75
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-B,3,3,3,-0.10708023691004293,-0.11606501154612861,-0.12276368437572954,-0.08911068763787156,1.0
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,3,3,3,-0.2154076509627645,-0.27163090038740423,-0.27188998286779376,-0.10296115211348511,1.0
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,3,3,3,-0.013576215653057194,-0.017542659343047717,-0.018123859448474736,-0.005643328273076148,1.0
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,3,3,3,-0.31526343851776084,-0.33024119965071785,-0.336493067710902,-0.2853079162518468,1.0
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,3,3,3,-0.31533718349770573,-0.33033969410032415,-0.3365036618334923,-0.2853321622924688,1.0
lower_speed,speed_curve_matched,steer_rms_deg,B-minus-A,4,23,10,0.2518522930515943,0.08086571802045214,0.08342390320476765,0.8520875271892261,0.0
lower_speed,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,4,23,10,0.6070739386496522,0.12605350655159275,0.13257754027488333,2.4837531779431767,0.25
lower_speed,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,4,23,10,0.04758752236305207,0.02617765840784848,0.007168880909314647,0.13519650186927837,0.25
